Date,Region,Ozone_DU,CFC_ppm,Emission_Index
01-01-2022,Andhra Pradesh,258.3604795,0.450081731,183.9663389
02-01-2022,Andhra Pradesh,277.6760406,0.540562905,168.8724296
03-01-2022,Andhra Pradesh,277.1379185,0.58710401,144.8258689
04-01-2022,Andhra Pradesh,287.0128174,0.571504561,122.3314297
05-01-2022,Andhra Pradesh,265.5290063,0.499894325,126.9172241
06-01-2022,Andhra Pradesh,266.2810687,0.585102775,165.3384867
07-01-2022,Andhra Pradesh,265.6572288,0.517999841,134.0675881
08-01-2022,Andhra Pradesh,260.8957428,0.49371217,126.5127282
09-01-2022,Andhra Pradesh,238.1014494,0.479896335,131.5121312
10-01-2022,Andhra Pradesh,286.2008518,0.495442984,132.9261515
11-01-2022,Andhra Pradesh,284.3928697,0.491157627,163.6867911
12-01-2022,Andhra Pradesh,252.7985351,0.51908728,143.5389962
13-01-2022,Andhra Pradesh,267.5922392,0.518595167,119.2263457
14-01-2022,Andhra Pradesh,263.3483688,0.510718769,147.2947357
15-01-2022,Andhra Pradesh,263.8757197,0.532413377,151.1191604
16-01-2022,Andhra Pradesh,244.4859822,0.570098782,137.0871005
17-01-2022,Andhra Pradesh,264.8729491,0.558044175,169.7915394
18-01-2022,Andhra Pradesh,281.4400874,0.43632157,138.25506
19-01-2022,Andhra Pradesh,307.9239495,0.382870412,168.8405915
20-01-2022,Andhra Pradesh,278.6930069,0.557282464,158.6094933
21-01-2022,Andhra Pradesh,275.0208198,0.442222534,165.2059479
22-01-2022,Andhra Pradesh,266.4124796,0.499328198,124.7028209
23-01-2022,Andhra Pradesh,265.2674341,0.452060817,148.6400416
24-01-2022,Andhra Pradesh,286.1612987,0.420467447,145.6172776
25-01-2022,Andhra Pradesh,277.2998201,0.537639605,118.2337072
26-01-2022,Andhra Pradesh,264.7908046,0.548524226,168.7750523
27-01-2022,Andhra Pradesh,259.5799064,0.481740948,130.3258198
28-01-2022,Andhra Pradesh,271.1871634,0.381014354,134.4824811
29-01-2022,Andhra Pradesh,266.1666022,0.483254246,126.407521
30-01-2022,Andhra Pradesh,273.2962349,0.530156669,160.6975642
31-01-2022,Andhra Pradesh,270.2732799,0.43662089,116.1552433
01-02-2022,Andhra Pradesh,278.6270714,0.519734464,159.0313337
02-02-2022,Andhra Pradesh,256.291753,0.509800976,167.5641174
03-02-2022,Andhra Pradesh,288.1127566,0.539531043,157.4174063
04-02-2022,Andhra Pradesh,310.8780871,0.516545487,160.9264074
05-02-2022,Andhra Pradesh,289.4849973,0.461913021,161.8647671
06-02-2022,Andhra Pradesh,276.3224783,0.570395044,127.6853512
07-02-2022,Andhra Pradesh,285.2746351,0.50263999,175.3685373
08-02-2022,Andhra Pradesh,259.7482089,0.509201241,137.4723126
09-02-2022,Andhra Pradesh,251.9963892,0.46390307,145.3460854
10-02-2022,Andhra Pradesh,283.8158167,0.488402356,140.0210914
11-02-2022,Andhra Pradesh,266.1059486,0.466326333,156.5046801
12-02-2022,Andhra Pradesh,255.1907068,0.501919165,135.9130929
13-02-2022,Andhra Pradesh,261.482879,0.596151892,148.0121522
14-02-2022,Andhra Pradesh,258.108405,0.441971411,121.9669614
15-02-2022,Andhra Pradesh,275.185651,0.429888399,169.9671419
16-02-2022,Andhra Pradesh,281.2295188,0.584124985,160.0886566
17-02-2022,Andhra Pradesh,285.3554653,0.500100285,140.8286425
18-02-2022,Andhra Pradesh,285.4443475,0.477112831,137.2908571
19-02-2022,Andhra Pradesh,283.5633313,0.562561703,159.5664026
20-02-2022,Andhra Pradesh,270.5741216,0.480285691,132.5279701
21-02-2022,Andhra Pradesh,264.9539162,0.601866954,149.181144
22-02-2022,Andhra Pradesh,253.0107917,0.544462762,169.9018135
23-02-2022,Andhra Pradesh,288.2160952,0.486170898,130.4486953
24-02-2022,Andhra Pradesh,270.9714774,0.618431879,154.0458543
25-02-2022,Andhra Pradesh,267.8306864,0.480280722,152.9883431
26-02-2022,Andhra Pradesh,289.2970317,0.547671237,144.7271013
27-02-2022,Andhra Pradesh,261.2450539,0.525531097,136.598046
28-02-2022,Andhra Pradesh,284.6405992,0.575653533,170.9697789
01-03-2022,Andhra Pradesh,308.193822,0.588642028,134.722465
02-03-2022,Andhra Pradesh,288.177953,0.512166676,110.4330597
03-03-2022,Andhra Pradesh,302.608345,0.472895575,159.4845096
04-03-2022,Andhra Pradesh,318.3398542,0.533565076,122.6477707
05-03-2022,Andhra Pradesh,315.6793331,0.4766807,160.5114606
06-03-2022,Andhra Pradesh,326.176915,0.611235831,173.3719027
07-03-2022,Andhra Pradesh,308.81812,0.517393235,159.2688353
08-03-2022,Andhra Pradesh,354.329845,0.492300391,168.1020638
09-03-2022,Andhra Pradesh,289.9395391,0.519800484,187.0748199
10-03-2022,Andhra Pradesh,297.7658253,0.443210154,166.009047
11-03-2022,Andhra Pradesh,302.8324399,0.461985767,153.2853056
12-03-2022,Andhra Pradesh,282.4641443,0.570587164,179.3528014
13-03-2022,Andhra Pradesh,319.3827754,0.477721754,181.7693486
14-03-2022,Andhra Pradesh,317.2983885,0.458220919,182.0492734
15-03-2022,Andhra Pradesh,304.0304062,0.537399106,136.8309674
16-03-2022,Andhra Pradesh,295.7291544,0.569851676,119.5934705
17-03-2022,Andhra Pradesh,281.3195931,0.546514134,135.609994
18-03-2022,Andhra Pradesh,291.9065263,0.560368853,160.74667
19-03-2022,Andhra Pradesh,314.9010704,0.472726714,149.8570166
20-03-2022,Andhra Pradesh,300.5629799,0.439475935,142.544218
21-03-2022,Andhra Pradesh,297.3423693,0.585633151,157.8834657
22-03-2022,Andhra Pradesh,311.2671262,0.494432476,117.2577361
23-03-2022,Andhra Pradesh,321.118201,0.498024818,149.4972237
24-03-2022,Andhra Pradesh,307.6021542,0.576976176,169.0429906
25-03-2022,Andhra Pradesh,308.4630946,0.538377969,157.6601506
26-03-2022,Andhra Pradesh,324.3233332,0.533360857,160.5100342
27-03-2022,Andhra Pradesh,306.3787006,0.618816586,178.6212935
28-03-2022,Andhra Pradesh,299.106073,0.478390557,145.350972
29-03-2022,Andhra Pradesh,313.8422837,0.556958475,133.6120045
30-03-2022,Andhra Pradesh,299.8959484,0.513417125,170.4641386
31-03-2022,Andhra Pradesh,298.2280153,0.523996082,170.0962503
